BrojPu,Naselje
10000,Sljeme (Medvednica-Tomislavac)
10000,Zagreb-Črnomerec
10000,Zagreb-Donji Grad
10000,Zagreb-Gornji Grad- Medveščak
10000,Zagreb-Maksimir
10000,Zagreb-Podsljeme
10000,Zagreb-Trnje
10010,Buzin
10010,Velika Mlaka
10010,Veliko Polje
10010,Zagreb-Novi Zagreb-istok
10020,Botinec
10020,Donji Čehi
10020,Gornji Čehi
10020,Hrašće Turopoljsko
10020,Mala Mlaka
10020,Odra
10020,Odranski Obrež
10020,Strmec
10020,Zagreb-Novi Zagreb-zapad
10040,Zagreb-Donja Dubrava
10040,Zagreb-Gornja Dubrava
10090,Zagreb-Podsused-Vrapče
10090,Zagreb-Stenjevec
10104,Zagreb-Trešnjevka-jug
10105,Zagreb-Donji Grad dio
10108,Zagreb-Maksimir dio
10109,Zagreb-Črnomerec dio
10110,Zagreb-Trešnjevka-sjever
10135,Zagreb-Pešćenica-Žitnjak
10250,Ježdovec
10250,Lučko
10255,Donji Stupnik
10255,Gornji Stupnik
10255,Horvati
10255,Kalinovica
10255,Rakov Potok
10255,Stupnički Obrež
10255,Žitarka
10257,Brebernica
10257,Brezovica
10257,Bukovčak
10257,Demerje
10257,Desprim
10257,Donji Dragonožec
10257,Donji Trpuci
10257,Drežnik Brezovički
10257,Goli Breg
10257,Gornji Dragonožec
10257,Gornji Trpuci
10257,Grančari
10257,Havidić Selo
10257,Hrvatski Leskovac
10257,Hudi Bitek
10257,Kupinečki Kraljevec
10257,Lipnica
10257,Starjak
10257,Zadvorsko
10290,Bregovljana
10290,Donja Pušća
10290,Dubrava Pušćanska
10290,Gornja Pušća
10290,Hrebine
10290,Hruševec Pušćanski
10290,Ivanec Bistranski
10290,Jablanovec
10290,Lužnica
10290,Marija Magdalena
10290,Pojatno
10290,Šibice
10290,Zaprešić
10290,Žlebec Pušćanski
10291,Bijela Gorica
10291,Brdovec
10291,Celine Goričke
10291,Drenje Brdovečko
10291,Hrastina
10291,Javorje
10291,Kraj Donji
10291,Kraj Gornji
10291,Marija Gorica
10291,Oplaznik
10291,Prigorje Brdovečko
10291,Prudnice
10291,Savski Marof
10291,Sveti Križ
10291,Trstenik
10291,Zdenci Brdovečki
10291,Žlebec Gorički
10292,Bobovec Rozganski
10292,Donji Čemehovec
10292,Donji Laduč
10292,Dubravica
10292,Gornji Laduč
10292,Harmica
10292,Ključ Brdovečki
10292,Kraj Gornji
10292,Lugarski Breg
10292,Lukavec Sutlanski
10292,Pologi
10292,Prosinec
10292,Rozga
10292,Šenkovec
10292,Vučilčevo
10292,Vukovo Selo
10295,Hruševec Kupljenski
10295,Kupljenovo
10295,Merenje
10297,Igrišće
10297,Jakovlje
10297,Krajska Ves
10297,Kraljev Vrh
10297,Luka
10297,Pluska
10297,Vadina
10297,Žejinci
10298,Bukovje Bistransko
10298,Donja Bistra
10298,Gornja Bistra
10298,Novaki Bistranski
10298,Oborovo Bistransko
10298,Poljanica Bistranska
10310,Bešlinec
10310,Caginec
10310,Čemernica Lonjska
10310,Deanovec
10310,Derežani
10310,Donja Obreška
10310,Gornja Obreška
10310,Graberje Ivanićko
10310,Greda Breška
10310,Ivanić-Grad
10310,Kloštar Ivanić
10310,Krišci
10310,Lepšić
10310,Lijevi Dubrovčak
10310,Lipovec Lonjski
10310,Opatinec
10310,Posavski Bregi
10310,Prečno
10310,Predavec
10310,Prerovec
10310,Sobočani
10310,Stara Marča
10310,Šćapovec
10310,Šemovec Breški
10310,Šumećani
10310,Tarno
10310,Topolje
10310,Trebovec
10310,Zaklepica
10310,Zelina Breška
10315,Bunjani
10315,Donji Prnjarovec
10315,Gornji Prnjarovec
10315,Johovec
10315,Konšćani
10315,Križ
10315,Mala Hrastilnica
10315,Novoselec
10315,Obedišće
10315,Okešinec
10315,Razljev
10315,Rečica Kriška
10315,Širinec
10315,Šušnjari
10315,Velika Hrastilnica
10315,Vezišće
10340,Baničevec
10340,Banovo
10340,Brčevec
10340,Brezani
10340,Buzadovac
10340,Celine
10340,Cerik
10340,Cerje
10340,Cugovec
10340,Dijaneš
10340,Donja Velika
